question_id,framework,weight,dimension
T1-B-001,iso-42001,3,ai_inventory
T1-B-001,nist-ai-rmf,3,ai_inventory
T1-B-001,sr-11-7,3,model_inventory
T1-B-001,nist-csf-2,2,asset_management
T1-B-002,iso-42001,3,ai_inventory
T1-B-002,nist-ai-rmf,3,ai_inventory
T1-B-002,sr-11-7,3,model_inventory
T1-B-002,nist-csf-2,2,asset_management
T1-B-003,iso-42001,3,ai_inventory
T1-B-003,nist-ai-rmf,3,ai_inventory
T1-B-003,sr-11-7,3,model_inventory
T1-B-003,nist-csf-2,2,asset_management
T1-B-004,iso-42001,3,ai_inventory
T1-B-004,nist-ai-rmf,3,ai_inventory
T1-B-004,sr-11-7,3,model_inventory
T1-B-004,nist-csf-2,2,asset_management
T1-B-005,iso-42001,3,ai_inventory
T1-B-005,nist-ai-rmf,3,ai_inventory
T1-B-005,sr-11-7,3,model_inventory
T1-B-005,nist-csf-2,2,asset_management
T1-B-006,iso-42001,3,ai_inventory
T1-B-006,nist-ai-rmf,3,ai_inventory
T1-B-006,sr-11-7,3,model_inventory
T1-B-006,nist-csf-2,2,asset_management
T1-B-007,iso-42001,3,ai_inventory
T1-B-007,nist-ai-rmf,3,ai_inventory
T1-B-007,sr-11-7,3,model_inventory
T1-B-007,nist-csf-2,2,asset_management
T1-B-008,iso-42001,3,ai_inventory
T1-B-008,nist-ai-rmf,3,ai_inventory
T1-B-008,sr-11-7,3,model_inventory
T1-B-008,nist-csf-2,2,asset_management
T1-B-009,iso-42001,3,ai_inventory
T1-B-009,nist-ai-rmf,3,ai_inventory
T1-B-009,sr-11-7,3,model_inventory
T1-B-009,nist-csf-2,2,asset_management
T1-B-010,iso-42001,3,ai_inventory
T1-B-010,nist-ai-rmf,3,ai_inventory
T1-B-010,sr-11-7,3,model_inventory
T1-B-010,nist-csf-2,2,asset_management
T1-B-011,iso-42001,3,ai_inventory
T1-B-011,nist-ai-rmf,3,ai_inventory
T1-B-011,sr-11-7,3,model_inventory
T1-B-011,nist-csf-2,2,asset_management
T1-B-013,iso-42001,3,ai_inventory
T1-B-013,nist-ai-rmf,3,ai_inventory
T1-B-013,sr-11-7,3,model_inventory
T1-B-013,nist-csf-2,2,asset_management
T1-B-014,iso-42001,3,ai_inventory
T1-B-014,nist-ai-rmf,3,ai_inventory
T1-B-014,sr-11-7,3,model_inventory
T1-B-014,nist-csf-2,2,asset_management
T1-B-015,iso-42001,3,ai_inventory
T1-B-015,nist-ai-rmf,3,ai_inventory
T1-B-015,sr-11-7,3,model_inventory
T1-B-015,nist-csf-2,2,asset_management
T1-B-016,iso-42001,3,ai_inventory
T1-B-016,nist-ai-rmf,3,ai_inventory
T1-B-016,sr-11-7,3,model_inventory
T1-B-016,nist-csf-2,2,asset_management
T1-B-017,iso-42001,3,ai_inventory
T1-B-017,nist-ai-rmf,3,ai_inventory
T1-B-017,sr-11-7,3,model_inventory
T1-B-017,nist-csf-2,2,asset_management
T1-B-019,iso-42001,3,ai_inventory
T1-B-019,nist-ai-rmf,3,ai_inventory
T1-B-019,sr-11-7,3,model_inventory
T1-B-019,nist-csf-2,2,asset_management
T1-B-021,iso-42001,3,ai_inventory
T1-B-021,nist-ai-rmf,3,ai_inventory
T1-B-021,sr-11-7,3,model_inventory
T1-B-021,nist-csf-2,2,asset_management
T1-B-022,iso-42001,3,ai_inventory
T1-B-022,nist-ai-rmf,3,ai_inventory
T1-B-022,sr-11-7,3,model_inventory
T1-B-022,nist-csf-2,2,asset_management
T1-B-023,iso-42001,3,ai_inventory
T1-B-023,nist-ai-rmf,3,ai_inventory
T1-B-023,sr-11-7,3,model_inventory
T1-B-023,nist-csf-2,2,asset_management
T1-B-024,iso-42001,3,ai_inventory
T1-B-024,nist-ai-rmf,3,ai_inventory
T1-B-024,sr-11-7,3,model_inventory
T1-B-024,nist-csf-2,2,asset_management
T1-C-002,iso-42001,2,resources
T1-C-002,sr-11-7,2,model_cost
T1-C-002,nist-ai-rmf,1,resources
T1-C-003,iso-42001,2,resources
T1-C-003,sr-11-7,2,model_cost
T1-C-003,nist-ai-rmf,1,resources
T1-C-004,iso-42001,2,resources
T1-C-004,sr-11-7,2,model_cost
T1-C-004,nist-ai-rmf,1,resources
